district,distributed
福岡市,true
北九州市,false
久留米市,false
直方市,false
飯塚市,false
田川市,false
柳川市,false
八女市,false
筑後市,false
大川市,false
行橋市,false
豊前市,false
中間市,false
小郡市,false
筑紫野市,false
春日市,false
大野城市,false
宗像市,false
太宰府市,false
古賀市,false
福津市,false
うきは市,false
宮若市,false
嘉麻市,false
朝倉市,false
みやま市,false
糸島市,false
那珂川市,false
宇美町,false
篠栗町,false
志免町,false
須恵町,false
新宮町,false
久山町,false
粕屋町,false
芦屋町,false
水巻町,false
岡垣町,false
遠賀町,false
小竹町,false
鞍手町,false
桂川町,false
筑前町,false
東峰村,false
大刀洗町,false
大木町,false
広川町,false
香春町,false
添田町,false
糸田町,false
川崎町,false
大任町,false
赤村,false
福智町,false
苅田町,false
みやこ町,false
吉富町,false
上毛町,false
築上町,false
大牟田市,false